NUTS_ID;official_surface_area_2021;freq;landuse;unit
AL01;10820;A;TOTAL;KM2
AL02;4967;A;TOTAL;KM2
AL03;13004;A;TOTAL;KM2
AT11;3964;A;TOTAL;KM2
AT12;19179;A;TOTAL;KM2
AT13;415;A;TOTAL;KM2
AT21;9537;A;TOTAL;KM2
AT22;16398;A;TOTAL;KM2
AT31;11981;A;TOTAL;KM2
AT32;7154;A;TOTAL;KM2
AT33;12648;A;TOTAL;KM2
AT34;2602;A;TOTAL;KM2
BE10;162;A;TOTAL;KM2
BE21;2876;A;TOTAL;KM2
BE22;2429;A;TOTAL;KM2
BE23;3009;A;TOTAL;KM2
BE24;2118;A;TOTAL;KM2
BE25;3167;A;TOTAL;KM2
BE31;1097;A;TOTAL;KM2
BE32;3814;A;TOTAL;KM2
BE33;3858;A;TOTAL;KM2
BE34;4461;A;TOTAL;KM2
BE35;3676;A;TOTAL;KM2
BG31;19068;A;TOTAL;KM2
BG32;14812;A;TOTAL;KM2
BG33;14648;A;TOTAL;KM2
BG34;19801;A;TOTAL;KM2
BG41;20301;A;TOTAL;KM2
BG42;22366;A;TOTAL;KM2
CH01;8717;A;TOTAL;KM2
CH02;10061;A;TOTAL;KM2
CH03;1958;A;TOTAL;KM2
CH04;1728;A;TOTAL;KM2
CH05;11529;A;TOTAL;KM2
CH06;4482;A;TOTAL;KM2
CH07;2812;A;TOTAL;KM2
CY00;9253;A;TOTAL;KM2
CZ01;496;A;TOTAL;KM2
CZ02;10929;A;TOTAL;KM2
CZ03;17707;A;TOTAL;KM2
CZ04;8649;A;TOTAL;KM2
CZ05;12441;A;TOTAL;KM2
CZ06;13984;A;TOTAL;KM2
CZ07;9235;A;TOTAL;KM2
CZ08;5430;A;TOTAL;KM2
DE11;10556;A;TOTAL;KM2
DE12;6917;A;TOTAL;KM2
DE13;9355;A;TOTAL;KM2
DE14;8917;A;TOTAL;KM2
DE21;17528;A;TOTAL;KM2
DE22;10328;A;TOTAL;KM2
DE23;9691;A;TOTAL;KM2
DE24;7232;A;TOTAL;KM2
DE25;7243;A;TOTAL;KM2
DE26;8530;A;TOTAL;KM2
DE27;9991;A;TOTAL;KM2
DE30;891;A;TOTAL;KM2
DE40;29656;A;TOTAL;KM2
DE50;420;A;TOTAL;KM2
DE60;755;A;TOTAL;KM2
DE71;7445;A;TOTAL;KM2
DE72;5382;A;TOTAL;KM2
DE73;8288;A;TOTAL;KM2
DE80;23293;A;TOTAL;KM2
DE91;8116;A;TOTAL;KM2
DE92;9065;A;TOTAL;KM2
DE93;15542;A;TOTAL;KM2
DE94;14987;A;TOTAL;KM2
DEA1;5291;A;TOTAL;KM2
DEA2;7365;A;TOTAL;KM2
DEA3;6918;A;TOTAL;KM2
DEA4;6524;A;TOTAL;KM2
DEA5;8012;A;TOTAL;KM2
DEB1;8075;A;TOTAL;KM2
DEB2;4926;A;TOTAL;KM2
DEB3;6852;A;TOTAL;KM2
DEC0;2571;A;TOTAL;KM2
DED2;7944;A;TOTAL;KM2
DED4;6528;A;TOTAL;KM2
DED5;3978;A;TOTAL;KM2
DEE0;20454;A;TOTAL;KM2
DEF0;15802;A;TOTAL;KM2
DEG0;16201;A;TOTAL;KM2
DK01;2559;A;TOTAL;KM2
DK02;7224;A;TOTAL;KM2
DK03;12256;A;TOTAL;KM2
DK04;13007;A;TOTAL;KM2
DK05;7879;A;TOTAL;KM2
EE00;45336;A;TOTAL;KM2
EL30;3817;A;TOTAL;KM2
EL41;3848;A;TOTAL;KM2
EL42;5311;A;TOTAL;KM2
EL43;8346;A;TOTAL;KM2
EL51;14186;A;TOTAL;KM2
EL52;18838;A;TOTAL;KM2
EL53;9462;A;TOTAL;KM2
EL54;9152;A;TOTAL;KM2
EL61;14050;A;TOTAL;KM2
EL62;2301;A;TOTAL;KM2
EL63;11314;A;TOTAL;KM2
EL64;15560;A;TOTAL;KM2
EL65;15509;A;TOTAL;KM2
ES11;29571;A;TOTAL;KM2
ES12;10601;A;TOTAL;KM2
ES13;5326;A;TOTAL;KM2
ES21;7229;A;TOTAL;KM2
ES22;10391;A;TOTAL;KM2
ES23;5045;A;TOTAL;KM2
ES24;47722;A;TOTAL;KM2
ES30;8031;A;TOTAL;KM2
ES41;94225;A;TOTAL;KM2
ES42;79458;A;TOTAL;KM2
ES43;41634;A;TOTAL;KM2
ES51;32110;A;TOTAL;KM2
ES52;23255;A;TOTAL;KM2
ES53;4990;A;TOTAL;KM2
ES61;87600;A;TOTAL;KM2
ES62;11314;A;TOTAL;KM2
ES63;20;A;TOTAL;KM2
ES64;14;A;TOTAL;KM2
ES70;7447;A;TOTAL;KM2
FI19;64763;A;TOTAL;KM2
FI1B;9568;A;TOTAL;KM2
FI1C;35379;A;TOTAL;KM2
FI1D;227120;A;TOTAL;KM2
FI20;1581;A;TOTAL;KM2
FR10;12070;A;TOTAL;KM2
FRB0;39529;A;TOTAL;KM2
FRC1;31754;A;TOTAL;KM2
FRC2;16308;A;TOTAL;KM2
FRD1;17758;A;TOTAL;KM2
FRD2;12355;A;TOTAL;KM2
FRE1;12444;A;TOTAL;KM2
FRE2;19505;A;TOTAL;KM2
FRF1;8329;A;TOTAL;KM2
FRF2;25720;A;TOTAL;KM2
FRF3;23669;A;TOTAL;KM2
FRG0;32376;A;TOTAL;KM2
FRH0;27471;A;TOTAL;KM2
FRI1;41804;A;TOTAL;KM2
FRI2;17056;A;TOTAL;KM2
FRI3;25967;A;TOTAL;KM2
FRJ1;27643;A;TOTAL;KM2
FRJ2;45603;A;TOTAL;KM2
FRK1;26172;A;TOTAL;KM2
FRK2;44962;A;TOTAL;KM2
FRL0;31839;A;TOTAL;KM2
FRM0;8726;A;TOTAL;KM2
FRY1;1685;A;TOTAL;KM2
FRY2;1108;A;TOTAL;KM2
FRY3;83751;A;TOTAL;KM2
FRY4;2504;A;TOTAL;KM2
FRY5;367;A;TOTAL;KM2
HR02;23220;A;TOTAL;KM2
HR03;24705;A;TOTAL;KM2
HR05;641;A;TOTAL;KM2
HR06;8028;A;TOTAL;KM2
HU11;525;A;TOTAL;KM2
HU12;6391;A;TOTAL;KM2
HU21;11086;A;TOTAL;KM2
HU22;11328;A;TOTAL;KM2
HU23;14197;A;TOTAL;KM2
HU31;13426;A;TOTAL;KM2
HU32;17723;A;TOTAL;KM2
HU33;18336;A;TOTAL;KM2
IE04;25796;A;TOTAL;KM2
IE05;29685;A;TOTAL;KM2
IE06;14466;A;TOTAL;KM2
IS00;102679;A;TOTAL;KM2
ITC1;25387;A;TOTAL;KM2
ITC2;3261;A;TOTAL;KM2
ITC3;5416;A;TOTAL;KM2
ITC4;23864;A;TOTAL;KM2
ITF1;10833;A;TOTAL;KM2
ITF2;4461;A;TOTAL;KM2
ITF3;13670;A;TOTAL;KM2
ITF4;19541;A;TOTAL;KM2
ITF5;10073;A;TOTAL;KM2
ITF6;15222;A;TOTAL;KM2
ITG1;25833;A;TOTAL;KM2
ITG2;24106;A;TOTAL;KM2
ITH1;7398;A;TOTAL;KM2
ITH2;6207;A;TOTAL;KM2
ITH3;18407;A;TOTAL;KM2
ITH4;7862;A;TOTAL;KM2
ITH5;22453;A;TOTAL;KM2
ITI1;22988;A;TOTAL;KM2
ITI2;8464;A;TOTAL;KM2
ITI3;9401;A;TOTAL;KM2
ITI4;17232;A;TOTAL;KM2
LI00;160;A;TOTAL;KM2
LT01;9730;A;TOTAL;KM2
LT02;55554;A;TOTAL;KM2
LU00;2595;A;TOTAL;KM2
LV00;64586;A;TOTAL;KM2
ME00;13882;A;TOTAL;KM2
MK00;25435;A;TOTAL;KM2
MT00;316;A;TOTAL;KM2
NL11;2405;A;TOTAL;KM2
NL12;3997;A;TOTAL;KM2
NL13;2680;A;TOTAL;KM2
NL21;3421;A;TOTAL;KM2
NL22;5137;A;TOTAL;KM2
NL23;2413;A;TOTAL;KM2
NL31;1449;A;TOTAL;KM2
NL32;3403;A;TOTAL;KM2
NL33;3247;A;TOTAL;KM2
NL34;1935;A;TOTAL;KM2
NL41;5082;A;TOTAL;KM2
NL42;2209;A;TOTAL;KM2
NO02;52072;A;TOTAL;KM2
NO06;42202;A;TOTAL;KM2
NO07;112985;A;TOTAL;KM2
NO08;25047;A;TOTAL;KM2
NO09;33900;A;TOTAL;KM2
NO0A;57604;A;TOTAL;KM2
NO0B;60676;A;TOTAL;KM2
PL21;15183;A;TOTAL;KM2
PL22;12333;A;TOTAL;KM2
PL41;29826;A;TOTAL;KM2
PL42;22443;A;TOTAL;KM2
PL43;13988;A;TOTAL;KM2
PL51;19947;A;TOTAL;KM2
PL52;9412;A;TOTAL;KM2
PL61;17972;A;TOTAL;KM2
PL62;24011;A;TOTAL;KM2
PL63;18170;A;TOTAL;KM2
PL71;18219;A;TOTAL;KM2
PL72;11709;A;TOTAL;KM2
PL81;25123;A;TOTAL;KM2
PL82;17846;A;TOTAL;KM2
PL84;20187;A;TOTAL;KM2
PL91;6104;A;TOTAL;KM2
PL92;29455;A;TOTAL;KM2
PT11;21287;A;TOTAL;KM2
PT15;4997;A;TOTAL;KM2
PT16;28200;A;TOTAL;KM2
PT17;3015;A;TOTAL;KM2
PT18;31604;A;TOTAL;KM2
PT20;2322;A;TOTAL;KM2
PT30;802;A;TOTAL;KM2
RO11;34160;A;TOTAL;KM2
RO12;34092;A;TOTAL;KM2
RO21;36853;A;TOTAL;KM2
RO22;35774;A;TOTAL;KM2
RO31;34467;A;TOTAL;KM2
RO32;1804;A;TOTAL;KM2
RO41;29206;A;TOTAL;KM2
RO42;32042;A;TOTAL;KM2
SE11;7153;A;TOTAL;KM2
SE12;43154;A;TOTAL;KM2
SE21;35879;A;TOTAL;KM2
SE22;14341;A;TOTAL;KM2
SE23;34465;A;TOTAL;KM2
SE31;71640;A;TOTAL;KM2
SE32;76709;A;TOTAL;KM2
SE33;164083;A;TOTAL;KM2
SI03;12433;A;TOTAL;KM2
SI04;7840;A;TOTAL;KM2
SK01;2053;A;TOTAL;KM2
SK02;14992;A;TOTAL;KM2
SK03;16263;A;TOTAL;KM2
SK04;15727;A;TOTAL;KM2
TR10;5340;A;TOTAL;KM2
TR21;18839;A;TOTAL;KM2
TR22;24067;A;TOTAL;KM2
TR31;11802;A;TOTAL;KM2
TR32;32027;A;TOTAL;KM2
TR33;45351;A;TOTAL;KM2
TR41;29108;A;TOTAL;KM2
TR42;20216;A;TOTAL;KM2
TR51;25460;A;TOTAL;KM2
TR52;49547;A;TOTAL;KM2
TR61;36562;A;TOTAL;KM2
TR62;29251;A;TOTAL;KM2
TR63;23297;A;TOTAL;KM2
TR71;31862;A;TOTAL;KM2
TR72;59782;A;TOTAL;KM2
TR81;9538;A;TOTAL;KM2
TR82;26497;A;TOTAL;KM2
TR83;38003;A;TOTAL;KM2
TR90;35058;A;TOTAL;KM2
TRA1;40818;A;TOTAL;KM2
TRA2;29948;A;TOTAL;KM2
TRB1;37339;A;TOTAL;KM2
TRB2;44480;A;TOTAL;KM2
TRC1;15734;A;TOTAL;KM2
TRC2;34511;A;TOTAL;KM2
TRC3;25833;A;TOTAL;KM2
UKC1;3027;A;TOTAL;KM2
UKC2;5566;A;TOTAL;KM2
UKD1;6822;A;TOTAL;KM2
UKD3;1276;A;TOTAL;KM2
UKD4;3076;A;TOTAL;KM2
UKD6;2264;A;TOTAL;KM2
UKD7;726;A;TOTAL;KM2
UKE1;3515;A;TOTAL;KM2
UKE2;8312;A;TOTAL;KM2
UKE3;1552;A;TOTAL;KM2
UKE4;2030;A;TOTAL;KM2
UKF1;4788;A;TOTAL;KM2
UKF2;4918;A;TOTAL;KM2
UKF3;5937;A;TOTAL;KM2
UKG1;5899;A;TOTAL;KM2
UKG2;6203;A;TOTAL;KM2
UKG3;902;A;TOTAL;KM2
UKH1;12580;A;TOTAL;KM2
UKH2;2878;A;TOTAL;KM2
UKH3;3678;A;TOTAL;KM2
UKI3;109;A;TOTAL;KM2
UKI4;210;A;TOTAL;KM2
UKI5;433;A;TOTAL;KM2
UKI6;355;A;TOTAL;KM2
UKI7;465;A;TOTAL;KM2
UKJ1;5744;A;TOTAL;KM2
UKJ2;5457;A;TOTAL;KM2
UKJ3;4149;A;TOTAL;KM2
UKJ4;3740;A;TOTAL;KM2
UKK1;7471;A;TOTAL;KM2
UKK2;6147;A;TOTAL;KM2
UKK3;3566;A;TOTAL;KM2
UKK4;6710;A;TOTAL;KM2
UKL1;13131;A;TOTAL;KM2
UKL2;7650;A;TOTAL;KM2
UKM5;6504;A;TOTAL;KM2
UKM6;41046;A;TOTAL;KM2
UKM7;13389;A;TOTAL;KM2
UKM8;1978;A;TOTAL;KM2
UKM9;15885;A;TOTAL;KM2
UKN0;14335;A;TOTAL;KM2
