Year;Lon;Lat;VegC;LitterC;SoilC;HarvSlowC;Total;Year.1;geometry;area_km2
1901;0;0,0;0,622;0,724;0,86;0,015;2,22;1901;POLYGON ((3022504.851476628 -2334955.4331896435, 3028015.338740267 -2235377.1780648436, 3150644.079299273 -2249115.134161654, 3145662.0283632614 -2348680.2150886506, 3022504.851476628 -2334955.4331896435));12308,695345541062
1902;0;0,5;0,623;0,723;0,861;0,015;2,222;1902;POLYGON ((3025229.2194334976 -2285216.22105736, 3030862.9233138054 -2185439.1691575106, 3153218.6956859147 -2199182.273243107, 3148125.1040484486 -2298948.0701849544, 3025229.2194334976 -2285216.22105736));12308,236565199899
1903;0;1,0;0,632;0,716;0,862;0,015;2,225;1903;POLYGON ((3028015.338740267 -2235377.1780648436, 3033771.690312869 -2135403.0607731277, 3155848.697708401 -2149150.35513423, 3150644.079299273 -2249115.134161654, 3028015.338740267 -2235377.1780648436));12306,865543547361
1904;0;1,5;0,632;0,718;0,863;0,016;2,229;1904;POLYGON ((3030862.9233138054 -2185439.1691575106, 3036741.3600698514 -2085269.7208582405, 3158533.8327349466 -2099020.249036777, 3153218.6956859147 -2199182.273243107, 3030862.9233138054 -2185439.1691575106));12304,582359969883
1905;0;2,0;0,634;0,692;0,864;0,016;2,206;1905;POLYGON ((3033771.690312869 -2135403.0607731277, 3039771.656024023 -2035040.018884791, 3161273.8509416417 -2048792.8256657925, 3155848.697708401 -2149150.35513423, 3033771.690312869 -2135403.0607731277));12301,38714636359
1906;0;2,5;0,613;0,703;0,864;0,017;2,196;1906;POLYGON ((3036741.3600698514 -2085269.7208582405, 3042862.3046562234 -1984714.8258669032, 3164068.505253453 -1998468.9572662795, 3158533.8327349466 -2099020.249036777, 3036741.3600698514 -2085269.7208582405));12297,280087152816
1907;0;3,0;0,618;0,692;0,864;0,017;2,191;1907;POLYGON ((3039771.656024023 -2035040.018884791, 3046013.0354249664 -1934295.0143778129, 3166917.5512864986 -1948049.5176299987, 3161273.8509416417 -2048792.8256657925, 3039771.656024023 -2035040.018884791));12292,261419317943
1908;0;3,5;0,601;0,712;0,864;0,017;2,194;1908;POLYGON ((3042862.3046562234 -1984714.8258669032, 3049223.5807039132 -1883781.4585670168, 3169820.7472915654 -1897535.3821124975, 3164068.505253453 -1998468.9572662795, 3042862.3046562234 -1984714.8258669032));12286,331432423382
1909;0;4,0;0,602;0,706;0,865;0,017;2,189;1909;POLYGON ((3046013.0354249664 -1934295.0143778129, 3052493.67572069 -1833175.034177483, 3172777.8540988388 -1846927.4276502123, 3166917.5512864986 -1948049.5176299987, 3046013.0354249664 -1934295.0143778129));12279,490468658436
1910;0;4,5;0,59;0,704;0,865;0,017;2,176;1910;POLYGON ((3049223.5807039132 -1883781.4585670168, 3055823.0584970065 -1782476.6185630392, 3175788.635063806 -1796226.5327777537, 3169820.7472915654 -1897535.3821124975, 3049223.5807039132 -1883781.4585670168));12271,738922887176
1911;0;5,0;0,594;0,705;0,866;0,017;2,182;1911;POLYGON ((3052493.67572069 -1833175.034177483, 3059211.4697900442 -1731687.0907058613, 3178852.8560143085 -1745433.5776453046, 3172777.8540988388 -1846927.4276502123, 3052493.67572069 -1833175.034177483));12263,07724269769
1912;0;5,5;0,597;0,702;0,866;0,017;2,183;1912;POLYGON ((3055823.0584970065 -1782476.6185630392, 3062658.6530350763 -1680807.3312340528, 3181970.285198712 -1694549.4440361094, 3175788.635063806 -1796226.5327777537, 3055823.0584970065 -1782476.6185630392));12253,505928465802
1913;0;6,0;0,597;0,708;0,867;0,018;2,189;1913;POLYGON ((3059211.4697900442 -1731687.0907058613, 3066164.3542893026 -1629838.2224393468, 3185140.6932351673 -1643575.015384093, 3178852.8560143085 -1745433.5776453046, 3059211.4697900442 -1731687.0907058613));12243,025533420188
1914;0;6,5;0,596;0,704;0,868;0,018;2,186;1914;POLYGON ((3062658.6530350763 -1680807.3312340528, 3069728.3221768457 -1578780.6482948363, 3188363.8530619293 -1592511.176791519, 3181970.285198712 -1694549.4440361094, 3062658.6530350763 -1680807.3312340528));12231,636663718238
1915;0;7,0;0,597;0,693;0,869;0,018;2,176;1915;POLYGON ((3066164.3542893026 -1629838.2224393468, 3073350.3078349065 -1527635.4944728054, 3191639.5398887126 -1541358.8150467556, 3185140.6932351673 -1643575.015384093, 3066164.3542893026 -1629838.2224393468));12219,339978527465
1916;0;7,5;0,605;0,681;0,869;0,018;2,173;1916;POLYGON ((3069728.3221768457 -1578780.6482948363, 3077030.064861021 -1476403.6483626002, 3194967.531149054 -1490118.8186420733, 3188363.8530619293 -1592511.176791519, 3069728.3221768457 -1578780.6482948363));12206,13619011084
1917;0;8,0;0,608;0,677;0,87;0,018;2,173;1917;POLYGON ((3073350.3078349065 -1527635.4944728054, 3080767.349261416 -1425085.99908851, 3198347.606453664 -1438792.0777914803, 3191639.5398887126 -1541358.8150467556, 3073350.3078349065 -1527635.4944728054));12192,026063924442
1918;0;8,5;0,597;0,693;0,87;0,018;2,179;1918;POLYGON ((3077030.064861021 -1476403.6483626002, 3084561.9194004256 -1373683.437527717, 3201779.547544731 -1387379.4844486173, 3194967.531149054 -1490118.8186420733, 3077030.064861021 -1476403.6483626002));12177,01041871499
1919;0;9,0;0,595;0,689;0,871;0,018;2,173;1919;POLYGON ((3080767.349261416 -1425085.99908851, 3088413.535950935 -1322196.8563282164, 3205263.1382511654 -1335881.9323246162, 3198347.606453664 -1438792.0777914803, 3080767.349261416 -1425085.99908851));12161,090126627823
1920;0;9,5;0,597;0,689;0,871;0,019;2,175;1920;POLYGON ((3084561.9194004256 -1373683.437527717, 3092321.9618458496 -1270627.1499267267, 3208798.1644447623 -1284300.3169059874, 3201779.547544731 -1387379.4844486173, 3084561.9194004256 -1373683.437527717));12144,266113323189
1921;0;10,0;0,607;0,689;0,872;0,019;2,187;1921;POLYGON ((3088413.535950935 -1322196.8563282164, 3096286.962230536 -1218975.2145666135, 3212384.4139972446 -1232635.53547249, 3205263.1382511654 -1335881.9323246162, 3088413.535950935 -1322196.8563282164));12126,539358092694
1922;0;10,5;0,613;0,688;0,873;0,019;2,193;1922;POLYGON ((3092321.9618458496 -1270627.1499267267, 3100308.304416241 -1167241.9483157583, 3216021.6767381895 -1180888.4871149724, 3208798.1644447623 -1284300.3169059874, 3092321.9618458496 -1270627.1499267267));12107,910893983833
1923;0;11,0;0,62;0,682;0,873;0,019;2,194;1923;POLYGON ((3096286.962230536 -1218975.2145666135, 3104385.7578344387 -1115428.2510843743, 3219709.7444137987 -1129060.0727531519, 3212384.4139972446 -1232635.53547249, 3096286.962230536 -1218975.2145666135));12088,381807934038
1924;0;11,5;0,623;0,675;0,873;0,019;2,19;1924;POLYGON ((3100308.304416241 -1167241.9483157583, 3108519.093992108 -1063535.0246427627, 3223448.4106464996 -1077151.1951533454, 3216021.6767381895 -1180888.4871149724, 3100308.304416241 -1167241.9483157583));12067,953240907826
1925;0;12,0;0,617;0,671;0,873;0,019;2,18;1925;POLYGON ((3104385.7578344387 -1115428.2510843743, 3112708.086427902 -1011563.1726389956, 3227237.470895365 -1025162.758946131, 3219709.7444137987 -1129060.0727531519, 3104385.7578344387 -1115428.2510843743));12046,6263880388
1926;0;12,5;0,618;0,662;0,873;0,019;2,172;1926;POLYGON ((3108519.093992108 -1063535.0246427627, 3116952.5106691965 -959513.6006165226, 3231076.7224173183 -973095.6706439238, 3223448.4106464996 -1077151.1951533454, 3108519.093992108 -1063535.0246427627));12024,402498775862
1927;0;13,0;0,62;0,656;0,873;0,019;2,168;1927;POLYGON ((3112708.086427902 -1011563.1726389956, 3121252.1441900027 -907387.2160316315, 3234965.964229121 -920950.838658426, 3227237.470895365 -1025162.758946131, 3112708.086427902 -1011563.1726389956));12001,282877039584
1928;0;13,5;0,619;0,666;0,873;0,019;2,178;1928;POLYGON ((3116952.5106691965 -959513.6006165226, 3125606.766369711 -855184.9282708322, 3238904.997070115 -868729.1733179926, 3231076.7224173183 -973095.6706439238, 3116952.5106691965 -959513.6006165226));11977,268881379907
1929;0;14,0;0,58;0,706;0,874;0,019;2,18;1929;POLYGON ((3121252.1441900027 -907387.2160316315, 3130016.158452663 -802907.6486680871, 3242893.623365715 -816431.586884839, 3234965.964229121 -920950.838658426, 3121252.1441900027 -907387.2160316315));11952,361925137931
1930;0;14,5;0,591;0,694;0,874;0,02;2,178;1930;POLYGON ((3125606.766369711 -855184.9282708322, 3134480.1035085274 -750556.290521869, 3246931.6471916153 -764058.9935721015, 3238904.997070115 -868729.1733179926, 3125606.766369711 -855184.9282708322));11926,563476617846
1931;0;15,0;0,597;0,696;0,874;0,02;2,186;1931;POLYGON ((3130016.158452663 -802907.6486680871, 3138998.386393456 -698131.7691121083, 3251018.874238722 -711612.309560766, 3242893.623365715 -816431.586884839, 3130016.158452663 -802907.6486680871));11899,875059257101
1932;0;15,5;0,602;0,693;0,875;0,02;2,189;1932;POLYGON ((3134480.1035085274 -750556.290521869, 3143570.793712022 -645635.0017169225, 3255155.1117787706 -659092.4530163864, 3246931.6471916153 -764058.9935721015, 3134480.1035085274 -750556.290521869));11872,298251802235
1933;0;16,0;0,61;0,689;0,875;0,02;2,194;1933;POLYGON ((3138998.386393456 -698131.7691121083, 3148197.1137799015 -593066.9076291616, 3259340.168630633 -606500.3441056316, 3251018.874238722 -711612.309560766, 3138998.386393456 -698131.7691121083));11843,834688494053
1934;0;16,5;0,611;0,68;0,875;0,02;2,186;1934;POLYGON ((3143570.793712022 -645635.0017169225, 3152877.136587303 -540428.4081727588, 3263573.85512729 -553836.9050126248, 3255155.1117787706 -659092.4530163864, 3143570.793712022 -645635.0017169225));11814,48605925003
1935;0;17,0;0,609;0,686;0,875;0,02;2,189;1935;POLYGON ((3148197.1137799015 -593066.9076291616, 3157610.6537631173 -487720.4267188427, 3267855.9830834595 -501103.0599550507, 3259340.168630633 -606500.3441056316, 3148197.1137799015 -593066.9076291616));11784,254109855305
1936;0;17,5;0,604;0,681;0,875;0,02;2,181;1936;POLYGON ((3152877.136587303 -540428.4081727588, 3162397.458539781 -434943.88870162657, 3272186.365763869 -448299.7352000475, 3263573.85512729 -553836.9050126248, 3152877.136587303 -540428.4081727588));11753,140642155011
1937;0;18,0;0,604;0,687;0,876;0,02;2,187;1937;POLYGON ((3157610.6537631173 -487720.4267188427, 3167237.3457188345 -382099.7216340434, 3276564.8178521562 -395427.85907983594, 3267855.9830834595 -501103.0599550507, 3157610.6537631173 -487720.4267188427));11721,147514249935
1938;0;18,5;0,564;0,713;0,875;0,02;2,171;1938;POLYGON ((3162397.458539781 -434943.88870162657, 3172130.1116371667 -329188.8551231264, 3280991.1554203886 -342488.3620070983, 3272186.365763869 -448299.7352000475, 3162397.458539781 -434943.88870162657));11688,276640695301
1939;0;19,0;0,573;0,703;0,875;0,02;2,171;1939;POLYGON ((3167237.3457188345 -382099.7216340434, 3177075.5541339293 -276212.2208850933, 3285465.195899189 -289482.17649006285, 3276564.8178521562 -395427.85907983594, 3167237.3457188345 -382099.7216340434));11654,529992703818
1940;0;19,5;0,579;0,703;0,876;0,02;2,178;1940;POLYGON ((3172130.1116371667 -329188.8551231264, 3182073.4725181106 -223170.75276014535, 3289986.758048464 -236410.2371473033, 3280991.1554203886 -342488.3620070983, 3172130.1116371667 -329188.8551231264));11619,909598351765
1941;0;20,0;0,57;0,713;0,877;0,021;2,18;1941;POLYGON ((3177075.5541339293 -276212.2208850933, 3187123.667536759 -170065.38672699314, 3294555.661928704 -183273.4807222574, 3285465.195899189 -289482.17649006285, 3177075.5541339293 -276212.2208850933));11584,417542781715
1942;0;20,5;0,561;0,714;0,878;0,021;2,174;1942;POLYGON ((3182073.4725181106 -223170.75276014535, 3192225.9413438365 -116897.06091698958, 3299171.728872873 -130072.84609737294, 3289986.758048464 -236410.2371473033, 3182073.4725181106 -223170.75276014535));11548,05596841649
1943;0;21,0;0,573;0,695;0,879;0,021;2,167;1943;POLYGON ((3187123.667536759 -170065.38672699314, 3197380.097469708 -63666.715628003236, 3303834.7814588537 -76809.2743079681, 3294555.661928704 -183273.4807222574, 3187123.667536759 -170065.38672699314));11510,827075169547
1944;0;21,5;0,576;0,685;0,878;0,021;2,161;1944;POLYGON ((3192225.9413438365 -116897.06091698958, 3202585.9407912306 -10375.293337912764, 3308544.6434824537 -23483.70855572913, 3299171.728872873 -130072.84609737294, 3192225.9413438365 -116897.06091698958));11472,73312065477
1945;0;22,0;0,586;0,68;0,878;0,021;2,166;1945;POLYGON ((3197380.097469708 -63666.715628003236, 3207843.2775024674 42976.261282288004, 3313301.139930957 29902.905778180342, 3303834.7814588537 -76809.2743079681, 3197380.097469708 -63666.715628003236));11433,77642040539
1946;0;22,5;0,593;0,676;0,878;0,021;2,168;1946;POLYGON ((3202585.9407912306 -10375.293337912764, 3213151.9150859746 96387.00135569181, 3318104.096957213 83349.62112032995, 3308544.6434824537 -23483.70855572913, 3202585.9407912306 -10375.293337912764));11393,95934808652
1947;0;23,0;0,576;0,701;0,879;0,021;2,178;1947;POLYGON ((3207843.2775024674 42976.261282288004, 3218511.662284692 149855.97778714355, 3322953.341854256 136855.48769269, 3313301.139930957 29902.905778180342, 3207843.2775024674 42976.261282288004));11353,284335711982
1948;0;23,5;0,582;0,678;0,88;0,022;2,161;1948;POLYGON ((3213151.9150859746 96387.00135569181, 3223922.3290744005 203382.23925124668, 3327848.7030304475 190419.55350063136, 3318104.096957213 83349.62112032995, 3213151.9150859746 96387.00135569181));11311,753873862392
1949;0;24,0;0,59;0,666;0,88;0,021;2,157;1949;POLYGON ((3218511.662284692 149855.97778714355, 3229383.726636754 256964.83218083018, 3332790.0099851293 244040.86432140693, 3322953.341854256 136855.48769269, 3218511.662284692 149855.97778714355));11269,370511901223
1950;0;24,5;0,597;0,652;0,879;0,022;2,149;1950;POLYGON ((3223922.3290744005 203382.23925124668, 3234895.6673328667 310602.80075580813, 3337777.0932847885 297718.46369301295, 3327848.7030304475 190419.55350063136, 3223922.3290744005 203382.23925124668));11226,136858193706
1951;0;25,0;0,599;0,643;0,879;0,022;2,142;1951;POLYGON ((3229383.726636754 256964.83218083018, 3240457.964677456 364295.18689249456, 3342809.784539715 351451.39290351, 3332790.0099851293 244040.86432140693, 3229383.726636754 256964.83218083018));11182,055580321128
1952;0;25,5;0,607;0,645;0,879;0,023;2,154;1952;POLYGON ((3234895.6673328667 310602.80075580813, 3246070.433313529 418041.03023339575, 3347887.9163811607 405238.6909808186, 3337777.0932847885 297718.46369301295, 3234895.6673328667 310602.80075580813));11137,12940530167
1953;0;26,0;0,612;0,63;0,879;0,023;2,144;1953;POLYGON ((3240457.964677456 364295.18689249456, 3251732.8889876087 471839.3681374178, 3353011.3224389763 459079.3946829443, 3342809.784539715 351451.39290351, 3240457.964677456 364295.18689249456));11091,361119803503
1954;0;26,5;0,616;0,631;0,879;0,024;2,15;1954;POLYGON ((3246070.433313529 418041.03023339575, 3257445.148525486 525689.2356705996, 3358179.837319734 512972.5384887131, 3347887.9163811607 405238.6909808186, 3246070.433313529 418041.03023339575));11044,753570359437
1955;0;27,0;0,611;0,637;0,879;0,024;2,151;1955;POLYGON ((3251732.8889876087 471839.3681374178, 3263207.0298085017 579589.6655973196, 3363393.2965853233 566917.1545889992, 3353011.3224389763 459079.3946829443, 3251732.8889876087 471839.3681374178));10997,30966358287
1956;0;27,5;0,608;0,641;0,88;0,025;2,154;1956;POLYGON ((3257445.148525486 525689.2356705996, 3269018.3517503454 633539.6883719875, 3368651.5367320115 620912.2728784201, 3358179.837319734 512972.5384887131, 3257445.148525486 525689.2356705996));10949,032366376114
1957;0;28,0;0,607;0,634;0,88;0,026;2,147;1957;POLYGON ((3263207.0298085017 579589.6655973196, 3274878.9342743605 687538.3321312848, 3373954.3951699724 674956.9209476062, 3363393.2965853233 566917.1545889992, 3263207.0298085017 579589.6655973196));10899,924706141846
1958;0;28,5;0,606;0,623;0,88;0,026;2,136;1958;POLYGON ((3269018.3517503454 633539.6883719875, 3280788.5982913645 741584.6226869151, 3379301.710203271 729050.124075958, 3368651.5367320115 620912.2728784201, 3269018.3517503454 633539.6883719875));10849,989770992199
1959;0;29,0;0,605;0,626;0,881;0,027;2,139;1959;POLYGON ((3274878.9342743605 687538.3321312848, 3286747.165677961 795677.5835188776, 3384693.3210102986 783190.9052249477, 3373954.3951699724 674956.9209476062, 3274878.9342743605 687538.3321312848));10799,230709950374
1960;0;29,5;0,605;0,621;0,881;0,027;2,134;1960;POLYGON ((3280788.5982913645 741584.6226869151, 3292754.459255354 849816.2357693268, 3390129.067624661 837378.2850320004, 3379301.710203271 729050.124075958, 3280788.5982913645 741584.6226869151));10747,65073315519
1961;0;30,0;0,61;0,62;0,88;0,028;2,139;1961;POLYGON ((3286747.165677961 795677.5835188776, 3298810.3027686514 903999.5982369673, 3395608.790916508 891611.2818049146, 3384693.3210102986 783190.9052249477, 3286747.165677961 795677.5835188776));10695,253112060776
1962;0;30,5;0,612;0,616;0,88;0,029;2,136;1962;POLYGON ((3292754.459255354 849816.2357693268, 3304914.520866647 958226.6873720028, 3401132.332574299 945888.911516835, 3390129.067624661 837378.2850320004, 3292754.459255354 849816.2357693268));10642,041179627628
1963;0;31,0;0,61;0,616;0,879;0,029;2,135;1963;POLYGON ((3298810.3027686514 903999.5982369673, 3311066.9390820973 1012496.5172717227, 3406699.5350870104 1000210.1878018798, 3395608.790916508 891611.2818049146, 3298810.3027686514 903999.5982369673));10588,018330518062
1964;0;31,5;0,603;0,628;0,879;0,03;2,141;1964;POLYGON ((3304914.520866647 958226.6873720028, 3317267.3838124606 1066808.099676615, 3412310.2417267696 1054574.1219512802, 3401132.332574299 945888.911516835, 3304914.520866647 958226.6873720028));10533,188021283044
1965;0;32,0;0,605;0,623;0,879;0,03;2,137;1965;POLYGON ((3311066.9390820973 1012496.5172717227, 3323515.6823011236 1121160.4439671552, 3417964.2965319236 1108979.7229102072, 3406699.5350870104 1000210.1878018798, 3311066.9390820973 1012496.5172717227));10477,553770544819
1966;0;32,5;0,602;0,624;0,879;0,031;2,137;1966;POLYGON ((3317267.3838124606 1066808.099676615, 3329811.6626190813 1175552.5571611172, 3423661.5442905207 1163425.997275126, 3412310.2417267696 1054574.1219512802, 3317267.3838124606 1066808.099676615));10421,119159174637
1967;0;33,0;0,607;0,622;0,88;0,031;2,14;1967;POLYGON ((3323515.6823011236 1121160.4439671552, 3336155.153647099 1229983.4439115997, 3429401.8305242267 1217911.9492918616, 3417964.2965319236 1108979.7229102072, 3323515.6823011236 1121160.4439671552));10363,887830465603
1968;0;33,5;0,61;0,621;0,88;0,032;2,143;1968;POLYGON ((3329811.6626190813 1175552.5571611172, 3342545.9850583216 1284452.1065056145, 3435185.00147265 1272436.580854239, 3423661.5442905207 1163425.997275126, 3329811.6626190813 1175552.5571611172));10305,863490303245
1969;0;34,0;0,611;0,622;0,88;0,032;2,145;1969;POLYGON ((3336155.153647099 1229983.4439115997, 3348983.9873013548 1338957.5448633658, 3441010.9040780873 1326998.8915034083, 3429401.8305242267 1217911.9492918616, 3336155.153647099 1229983.4439115997));10247,04990732539
1970;0;34,5;0,608;0,623;0,88;0,032;2,143;1970;POLYGON ((3342545.9850583216 1284452.1065056145, 3355468.9915837916 1393498.7565381364, 3446879.385970679 1381597.8784277881, 3435185.00147265 1272436.580854239, 3342545.9850583216 1284452.1065056145));10187,450913079563
1971;0;35,0;0,611;0,622;0,88;0,032;2,145;1971;POLYGON ((3348983.9873013548 1338957.5448633658, 3362000.8298561973 1448074.7367168607, 3452790.295453977 1436232.5364636963, 3441010.9040780873 1326998.8915034083, 3348983.9873013548 1338957.5448633658));10127,070402171319
1972;0;35,5;0,615;0,618;0,88;0,032;2,145;1972;POLYGON ((3355468.9915837916 1393498.7565381364, 3368579.3347965456 1502684.478221351, 3458743.4814909166 1490901.8580966338, 3446879.385970679 1381597.8784277881, 3355468.9915837916 1393498.7565381364));10065,912332409034
1973;0;36,0;0,619;0,617;0,88;0,032;2,148;1973;POLYGON ((3362000.8298561973 1448074.7367168607, 3375204.3397951005 1557326.9715102143, 3464738.793690202 1545604.8334632765, 3452790.295453977 1436232.5364636963, 3362000.8298561973 1448074.7367168607));10003,980724940853
1974;0;36,5;0,619;0,616;0,88;0,032;2,148;1974;POLYGON ((3368579.3347965456 1502684.478221351, 3381875.678939743 1612001.204681432, 3470776.082293085 1600340.4503541146, 3458743.4814909166 1490901.8580966338, 3368579.3347965456 1502684.478221351));9941,279664383354
1975;0;37,0;0,611;0,601;0,881;0,033;2,126;1975;POLYGON ((3375204.3397951005 1557326.9715102143, 3388593.1870017443 1666706.1634756338, 3476855.1981605524 1655107.6942168074, 3464738.793690202 1545604.8334632765, 3375204.3397951005 1557326.9715102143));9877,813298941677
1976;0;37,5;0,606;0,61;0,881;0,033;2,129;1976;POLYGON ((3381875.678939743 1612001.204681432, 3395356.6994219795 1721440.831280092, 3482975.992760914 1709905.548160255, 3470776.082293085 1600340.4503541146, 3381875.678939743 1612001.204681432));9813,585840526599
1977;0;38,0;0,606;0,608;0,882;0,033;2,129;1977;POLYGON ((3388593.1870017443 1666706.1634756338, 3402166.0522975815 1776204.1891333966, 3489138.3181577823 1764732.9929593562, 3476855.1981605524 1655107.6942168074, 3388593.1870017443 1666706.1634756338));9748,601564859639
1978;0;38,5;0,606;0,606;0,882;0,033;2,127;1978;POLYGON ((3395356.6994219795 1721440.831280092, 3409021.082369027 1830995.2157308094, 3495342.0269984524 1819589.0070604526, 3482975.992760914 1709905.548160255, 3395356.6994219795 1721440.831280092));9682,864811565902
1979;0;39,0;0,602;0,605;0,881;0,034;2,122;1979;POLYGON ((3402166.0522975815 1776204.1891333966, 3415921.6270076735 1885812.8874304378, 3501586.9725026824 1874472.5665875887, 3489138.3181577823 1764732.9929593562, 3402166.0522975815 1776204.1891333966));9616,379984268677
1980;0;39,5;0,607;0,605;0,881;0,034;2,127;1980;POLYGON ((3409021.082369027 1830995.2157308094, 3422867.5242037117 1940656.178260009, 3507873.008451861 1929382.6453493936, 3495342.0269984524 1819589.0070604526, 3409021.082369027 1830995.2157308094));9549,15155066788
1981;0;40,0;0,611;0,603;0,88;0,034;2,128;1981;POLYGON ((3415921.6270076735 1885812.8874304378, 3429858.612554571 1995524.0599244544, 3514199.989178569 1984318.2148467628, 3501586.9725026824 1874472.5665875887, 3415921.6270076735 1885812.8874304378));9481,184042606472
1982;0;40,5;0,608;0,604;0,88;0,034;2,127;1982;POLYGON ((3422867.5242037117 1940656.178260009, 3436894.731253744 2050415.5018141933, 3520567.7695565363 2039278.24428125, 3507873.008451861 1929382.6453493936, 3422867.5242037117 1940656.178260009));9412,48205613538
1983;0;41,0;0,61;0,603;0,88;0,035;2,128;1983;POLYGON ((3429858.612554571 1995524.0599244544, 3443975.72008005 2105329.4710141676, 3526976.2049909886 2094261.7005642143, 3514199.989178569 1984318.2148467628, 3429858.612554571 1995524.0599244544));9343,05025156214
1984;0;41,5;0,615;0,598;0,88;0,035;2,129;1984;POLYGON ((3436894.731253744 2050415.5018141933, 3451101.419387325 2160264.93231361, 3533425.1514093825 2149267.548326713, 3520567.7695565363 2039278.24428125, 3436894.731253744 2050415.5018141933));9272,89335349234
1985;0;42,0;0,617;0,598;0,88;0,035;2,13;1985;POLYGON ((3443975.72008005 2105329.4710141676, 3458271.6700945487 2215220.84821657, 3539914.4652525345 2204294.749930147, 3526976.2049909886 2094261.7005642143, 3443975.72008005 2105329.4710141676));9202,016150859537
1986;0;42,5;0,622;0,596;0,88;0,035;2,133;1986;POLYGON ((3451101.419387325 2160264.93231361, 3465486.3136763913 2270196.1789531885, 3546444.003466137 2259342.265477667, 3533425.1514093825 2149267.548326713, 3451101.419387325 2160264.93231361));9130,423496945366
1987;0;43,0;0,629;0,596;0,88;0,035;2,14;1987;POLYGON ((3458271.6700945487 2215220.84821657, 3472745.1921541984 2325189.8824917087, 3553013.62349266 2314409.0528263203, 3539914.4652525345 2204294.749930147, 3458271.6700945487 2215220.84821657));9058,120309385957
1988;0;43,5;0,631;0,594;0,879;0,035;2,139;1988;POLYGON ((3465486.3136763913 2270196.1789531885, 3480048.1480873986 2380200.9145512674, 3559623.1832636464 2369494.0675999853, 3546444.003466137 2259342.265477667, 3465486.3136763913 2270196.1789531885));8985,111570170082
1989;0;44,0;0,632;0,598;0,879;0,035;2,144;1989;POLYGON ((3472745.1921541984 2325189.8824917087, 3487395.0245653437 2435228.228615456, 3566272.5411923975 2424596.2632030845, 3553013.62349266 2314409.0528263203, 3472745.1921541984 2325189.8824917087));8911,402325626937
